datetime,portfolio_value,cash,return
2020-02-04 09:30:00-05:00,100000.0,100000.0,
2020-02-05 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-11 09:30:00-05:00,99255.57110595703,150015.73165893555,-0.0074442889404297
2020-02-12 09:30:00-05:00,99154.40368652344,150015.73165893555,-0.0010192618742337345
2020-02-13 09:30:00-05:00,99300.87387084961,150015.73165893555,0.0014771929322396904
2020-02-14 09:30:00-05:00,98683.76473999023,224912.50839233398,-0.006214538772961742
2020-02-15 09:30:00-05:00,98683.76473999023,224912.50839233398,0.0
2020-02-18 09:30:00-05:00,99057.76473999023,224912.50839233398,0.0037898837867140767
2020-02-19 09:30:00-05:00,98579.0451965332,224912.50839233398,-0.004832731131310997
2020-02-20 09:30:00-05:00,98597.75204467773,224912.50839233398,0.000189764955698557
2020-02-21 09:30:00-05:00,99446.72793579102,224912.50839233398,0.008610499463806986
2020-02-22 09:30:00-05:00,99446.72793579102,224912.50839233398,0.0
2020-02-24 09:30:00-05:00,104058.14291381836,224912.50839233398,0.04637070594222825
2020-02-25 09:30:00-05:00,103758.94747924805,224912.50839233398,-0.002875271710529259
2020-02-26 09:30:00-05:00,107409.1911315918,224912.50839233398,0.035180037394594965
2020-02-27 09:30:00-05:00,110670.47158813477,224912.50839233398,0.030363141386545056
2020-02-28 09:30:00-05:00,116938.7038269043,224912.50839233398,0.05663870541816296
2020-02-29 09:30:00-05:00,116938.7038269043,224912.50839233398,0.0
2020-03-02 09:30:00-05:00,113381.97158813477,224912.50839233398,-0.03041535541589635
2020-03-03 09:30:00-05:00,109159.50839233398,224912.50839233398,-0.03724104579111631
2020-03-04 09:30:00-05:00,110423.63021850586,224912.50839233398,0.011580501275513688
2020-03-05 09:30:00-05:00,110849.98428344727,224912.50839233398,0.003861076330290425
2020-03-06 09:30:00-05:00,115274.41067504883,224912.50839233398,0.039913640224685576
2020-03-07 09:30:00-05:00,115274.41067504883,337482.106048584,0.0
2020-03-09 09:30:00-04:00,121724.97494506836,337482.106048584,0.0559583365661549
2020-03-10 09:30:00-04:00,127047.9182434082,506273.6347351074,0.04372926181124259
2020-03-11 09:30:00-04:00,160417.63473510742,506273.6347351074,0.262654571228526
2020-03-12 09:30:00-04:00,153490.70831298828,410529.6347351074,-0.04318057945161302
2020-03-13 09:30:00-04:00,153490.70831298828,410529.6347351074,0.0
2020-03-14 09:30:00-04:00,153490.70831298828,410529.6347351074,0.0
2020-03-16 09:30:00-04:00,171125.56129455566,410529.6347351074,0.11489199037121867
2020-03-17 09:30:00-04:00,179713.38473510742,410529.6347351074,0.050184340525081916
2020-03-18 09:30:00-04:00,178598.70661010745,320473.95661010745,-0.006202532586223275
2020-03-19 09:30:00-04:00,176653.6673339844,320473.95661010745,-0.010890556337393775
2020-03-20 09:30:00-04:00,176653.6673339844,320473.95661010745,0.0
2020-03-21 09:30:00-04:00,176653.6673339844,320473.95661010745,0.0
2020-03-23 09:30:00-04:00,181462.89769592287,320473.95661010745,0.02722406182967063
2020-03-24 09:30:00-04:00,175266.04950561526,320473.95661010745,-0.034149395104952296
2020-03-25 09:30:00-04:00,172508.5940765381,320473.95661010745,-0.01573296960167292
2020-03-26 09:30:00-04:00,170284.8440765381,320473.95661010745,-0.012890662125582986
2020-03-27 09:30:00-04:00,170284.8440765381,320473.95661010745,0.0
2020-03-28 09:30:00-04:00,170284.8440765381,320473.95661010745,0.0
2020-03-30 09:30:00-04:00,165961.87805786135,320473.95661010745,-0.025386675144933646
2020-03-31 09:30:00-04:00,173421.81914367678,320473.95661010745,0.044949726847599125
2020-04-01 09:30:00-04:00,175076.28516235354,320473.95661010745,0.00954012607436705
2020-04-02 09:30:00-04:00,171773.27986755373,320473.95661010745,-0.018866091953783637
2020-04-03 09:30:00-04:00,171773.27986755373,320473.95661010745,0.0
2020-04-04 09:30:00-04:00,171773.27986755373,320473.95661010745,0.0
2020-04-06 09:30:00-04:00,157867.43167724612,320473.95661010745,-0.08095466420056574
2020-04-07 09:30:00-04:00,161573.68167724612,320473.95661010745,0.023476976603871602
2020-04-08 09:30:00-04:00,155869.02457275393,320473.95661010745,-0.03530684604865053
2020-04-09 09:30:00-04:00,155869.02457275393,320473.95661010745,0.0
2020-04-10 09:30:00-04:00,155869.02457275393,320473.95661010745,0.0
2020-04-13 09:30:00-04:00,153852.81009521487,320473.95661010745,-0.012935312086962858
2020-04-14 09:30:00-04:00,157818.64435424807,480632.5628723145,0.025776807434189086
2020-04-15 09:30:00-04:00,155981.11997070315,480632.5628723145,-0.01164326554104922
2020-04-16 09:30:00-04:00,148735.61719360354,480632.5628723145,-0.046451152411653984
2020-04-17 09:30:00-04:00,148735.61719360354,480632.5628723145,0.0
2020-04-18 09:30:00-04:00,148735.61719360354,480632.5628723145,0.0
2020-04-20 09:30:00-04:00,158795.56009521487,480632.5628723145,0.0676364080872216
2020-04-21 09:30:00-04:00,156911.5057739258,480632.5628723145,-0.011864653647491008
2020-04-22 09:30:00-04:00,154422.70422973635,480632.5628723145,-0.015861179407552495
2020-04-23 09:30:00-04:00,154143.56009521487,480632.5628723145,-0.001807662519017872
2020-04-24 09:30:00-04:00,154143.56009521487,480632.5628723145,0.0
2020-04-25 09:30:00-04:00,154143.56009521487,480632.5628723145,0.0
2020-04-27 09:30:00-04:00,142176.3156494141,480632.5628723145,-0.07763700564855636
2020-04-28 09:30:00-04:00,142597.58371582034,-98206.19527587888,0.0029629974899971767
2020-04-29 09:30:00-04:00,142746.25766601565,-98206.19527587888,0.00104261198767297
2020-04-30 09:30:00-04:00,137459.86270751955,-98206.19527587888,-0.03703350998430166
2020-05-01 09:30:00-04:00,137459.86270751955,-98206.19527587888,0.0
2020-05-02 09:30:00-04:00,137459.86270751955,-98206.19527587888,0.0
2020-05-04 09:30:00-04:00,138558.4568237305,-98206.19527587888,0.0079921083476453
2020-05-05 09:30:00-04:00,139714.8517822266,-98206.19527587888,0.008345899521436051
2020-05-06 09:30:00-04:00,139475.30472412112,-98206.19527587888,-0.0017145425489829558
2020-05-07 09:30:00-04:00,142234.14169921877,-98206.19527587888,0.019780110755481584
2020-05-08 09:30:00-04:00,142234.14169921877,-98206.19527587888,0.0
2020-05-09 09:30:00-04:00,142234.14169921877,-98206.19527587888,0.0
2020-05-11 09:30:00-04:00,144464.3517822266,-98206.19527587888,0.01567985053633625
2020-05-12 09:30:00-04:00,138079.36270751955,-98206.19527587888,-0.04419767919169504
2020-05-13 09:30:00-04:00,132206.51480712893,-98206.19527587888,-0.04253240879182307
2020-05-14 09:30:00-04:00,130157.19010314942,130157.19010314942,-0.015500935842452157
2020-05-15 09:30:00-04:00,130157.19010314942,130157.19010314942,0.0
